id,value
삼성전자	,	313212380
SK하이닉스	,	49868162
현대차	,	35464513
삼성전자우	,	35422802
삼성물산	,	28168971
NAVER	,	28117165
한국전력	,	26224233
현대모비스	,	24822685
POSCO	,	24717468
KB금융	,	24166847
삼성생명	,	23700000
신한지주	,	23662559
SK텔레콤	,	21115003
LG화학	,	19907041
삼성바이오로직스	,	19651005
SK	,	19278721
아모레퍼시픽	,	17683693
KT&G	,	15788637
기아차	,	15464612
LG생활건강	,	15337069
삼성에스디에스	,	14624404
SK이노베이션	,	14563326
삼성화재	,	13454454
LG디스플레이	,	13435980
하나금융지주	,	13408939
LG	,	13407689
넷마블게임즈	,	13176566
LG전자	,	13042731
우리은행	,	12573600
삼성SDI	,	11552441
롯데케미칼	,	11328026
아모레G	,	10678334
S-Oil	,	10458941
현대중공업	,	9973115
롯데쇼핑	,	9447268
고려아연	,	8500935
KT	,	8473078
엔씨소프트	,	8300135
현대제철	,	8206916
기업은행	,	7979698
한국타이어	,	7903229
코웨이	,	7706266
삼성전기	,	7581410
강원랜드	,	7498615
미래에셋대우	,	7496060
LG유플러스	,	7051273
이마트	,	6592631
GS	,	6318246
한화생명	,	5958116
효성	,	5899732
현대글로비스	,	5850000
한국항공우주	,	5536586
한온시스템	,	5498140
한미사이언스	,	5480629
CJ	,	5470687
현대건설	,	5111230
BGF리테일	,	5004310
한국가스공사	,	4957208
한화케미칼	,	4952521
동부화재	,	4871040
삼성중공업	,	4855500
오리온	,	4794731
CJ제일제당	,	4760231
현대로보틱스	,	4581380
삼성카드	,	4559047
KCC	,	4549857
현대차2우B	,	4438436
KODEX 200	,	4378377
한샘	,	4330243
한미약품	,	4303511
NH투자증권	,	4207063
CJ대한통운	,	4083410
GS리테일	,	3942400
한국금융지주	,	3911965
LG이노텍	,	3822238
삼성증권	,	3679160
에스원	,	3670721
대한항공	,	3670487
두산밥캣	,	3578895
BNK금융지주	,	3568991
현대해상	,	3567060
현대산업	,	3539287
한화	,	3526808
메리츠종금증권	,	3076657
대림산업	,	3055440
동서	,	3030880
대우건설	,	3029889
대우조선해양	,	2937848
맥쿼리인프라	,	2867123
현대차우	,	2837428
팬오션	,	2832758
유한양행	,	2811481
롯데제과	,	2800158
포스코대우	,	2763603
아이엔지생명	,	2738800
오뚜기	,	2686640
현대백화점	,	2609372
한화테크윈	,	2390670
만도	,	2371335
두산	,	2354196
삼성엔지니어링	,	2352000
신세계	,	2308695
LS	,	2302300
금호석유	,	2278983
두산중공업	,	2251578
메리츠화재	,	2190209
호텔신라	,	2182196
OCI	,	2177448
KB손해보험	,	2167900
현대미포조선	,	2160000
GS건설	,	2154052
롯데칠성	,	2125515
제일기획	,	2116759
영풍	,	2085189
영진약품	,	2084977
녹십자	,	2068517
메리츠금융지주	,	2057556
키움증권	,	2050856
한국타이어월드와이드	,	2046444
농심	,	2037685
한전KPS	,	1993500
DGB금융지주	,	1979006
TIGER 200	,	1974431
아모레퍼시픽우	,	1921525
현대위아	,	1914534
SK케미칼	,	1793580
현대로템	,	1780750
코오롱인더	,	1753115
두산인프라코어	,	1732252
현대그린푸드	,	1729369
현대상선	,	1670629
LS산전	,	1668000
LIG넥스원	,	1665400
롯데하이마트	,	1659622
하이트진로	,	1644633
